date,series_id,display_name,category,value,unit,frequency
2019-07-01,ADRO,Adaro Energy Indonesia,stock,1270.0,IDR,monthly
2019-08-01,ADRO,Adaro Energy Indonesia,stock,1125.0,IDR,monthly
2019-09-01,ADRO,Adaro Energy Indonesia,stock,1290.0,IDR,monthly
2019-10-01,ADRO,Adaro Energy Indonesia,stock,1310.0,IDR,monthly
2019-11-01,ADRO,Adaro Energy Indonesia,stock,1230.0,IDR,monthly
2019-12-01,ADRO,Adaro Energy Indonesia,stock,1555.0,IDR,monthly
2020-01-01,ADRO,Adaro Energy Indonesia,stock,1225.0,IDR,monthly
2020-02-01,ADRO,Adaro Energy Indonesia,stock,1155.0,IDR,monthly
2020-03-01,ADRO,Adaro Energy Indonesia,stock,990.0,IDR,monthly
2020-04-01,ADRO,Adaro Energy Indonesia,stock,920.0,IDR,monthly
2020-05-01,ADRO,Adaro Energy Indonesia,stock,1100.0,IDR,monthly
2020-06-01,ADRO,Adaro Energy Indonesia,stock,995.0,IDR,monthly
2020-07-01,ADRO,Adaro Energy Indonesia,stock,1085.0,IDR,monthly
2020-08-01,ADRO,Adaro Energy Indonesia,stock,1085.0,IDR,monthly
2020-09-01,ADRO,Adaro Energy Indonesia,stock,1135.0,IDR,monthly
2020-10-01,ADRO,Adaro Energy Indonesia,stock,1125.0,IDR,monthly
2020-11-01,ADRO,Adaro Energy Indonesia,stock,1390.0,IDR,monthly
2020-12-01,ADRO,Adaro Energy Indonesia,stock,1430.0,IDR,monthly
2021-01-01,ADRO,Adaro Energy Indonesia,stock,1200.0,IDR,monthly
2021-02-01,ADRO,Adaro Energy Indonesia,stock,1180.0,IDR,monthly
2021-03-01,ADRO,Adaro Energy Indonesia,stock,1175.0,IDR,monthly
2021-04-01,ADRO,Adaro Energy Indonesia,stock,1245.0,IDR,monthly
2021-05-01,ADRO,Adaro Energy Indonesia,stock,1190.0,IDR,monthly
2021-06-01,ADRO,Adaro Energy Indonesia,stock,1205.0,IDR,monthly
2021-07-01,ADRO,Adaro Energy Indonesia,stock,1335.0,IDR,monthly
2021-08-01,ADRO,Adaro Energy Indonesia,stock,1260.0,IDR,monthly
2021-09-01,ADRO,Adaro Energy Indonesia,stock,1760.0,IDR,monthly
2021-10-01,ADRO,Adaro Energy Indonesia,stock,1680.0,IDR,monthly
2021-11-01,ADRO,Adaro Energy Indonesia,stock,1700.0,IDR,monthly
2021-12-01,ADRO,Adaro Energy Indonesia,stock,2250.0,IDR,monthly
2022-01-01,ADRO,Adaro Energy Indonesia,stock,2240.0,IDR,monthly
2022-02-01,ADRO,Adaro Energy Indonesia,stock,2450.0,IDR,monthly
2022-03-01,ADRO,Adaro Energy Indonesia,stock,2690.0,IDR,monthly
2022-04-01,ADRO,Adaro Energy Indonesia,stock,3340.0,IDR,monthly
2022-05-01,ADRO,Adaro Energy Indonesia,stock,3270.0,IDR,monthly
2022-06-01,ADRO,Adaro Energy Indonesia,stock,2860.0,IDR,monthly
2022-07-01,ADRO,Adaro Energy Indonesia,stock,3250.0,IDR,monthly
2022-08-01,ADRO,Adaro Energy Indonesia,stock,3540.0,IDR,monthly
2022-09-01,ADRO,Adaro Energy Indonesia,stock,3960.0,IDR,monthly
2022-10-01,ADRO,Adaro Energy Indonesia,stock,3980.0,IDR,monthly
2022-11-01,ADRO,Adaro Energy Indonesia,stock,3870.0,IDR,monthly
2022-12-01,ADRO,Adaro Energy Indonesia,stock,3850.0,IDR,monthly
2023-01-01,ADRO,Adaro Energy Indonesia,stock,2960.0,IDR,monthly
2023-02-01,ADRO,Adaro Energy Indonesia,stock,2990.0,IDR,monthly
2023-03-01,ADRO,Adaro Energy Indonesia,stock,2900.0,IDR,monthly
2023-04-01,ADRO,Adaro Energy Indonesia,stock,3130.0,IDR,monthly
2023-05-01,ADRO,Adaro Energy Indonesia,stock,2040.0,IDR,monthly
2023-06-01,ADRO,Adaro Energy Indonesia,stock,2230.0,IDR,monthly
2023-07-01,ADRO,Adaro Energy Indonesia,stock,2410.0,IDR,monthly
2023-08-01,ADRO,Adaro Energy Indonesia,stock,2670.0,IDR,monthly
2023-09-01,ADRO,Adaro Energy Indonesia,stock,2850.0,IDR,monthly
2023-10-01,ADRO,Adaro Energy Indonesia,stock,2560.0,IDR,monthly
2023-11-01,ADRO,Adaro Energy Indonesia,stock,2620.0,IDR,monthly
2023-12-01,ADRO,Adaro Energy Indonesia,stock,2380.0,IDR,monthly
2024-01-01,ADRO,Adaro Energy Indonesia,stock,2400.0,IDR,monthly
2024-02-01,ADRO,Adaro Energy Indonesia,stock,2420.0,IDR,monthly
2024-03-01,ADRO,Adaro Energy Indonesia,stock,2700.0,IDR,monthly
2024-04-01,ADRO,Adaro Energy Indonesia,stock,2710.0,IDR,monthly
2024-05-01,ADRO,Adaro Energy Indonesia,stock,2770.0,IDR,monthly
2024-06-01,ADRO,Adaro Energy Indonesia,stock,2790.0,IDR,monthly
2024-07-01,ADRO,Adaro Energy Indonesia,stock,3220.0,IDR,monthly
2024-08-01,ADRO,Adaro Energy Indonesia,stock,3560.0,IDR,monthly
